"국가(대륙)별","상품군별","판매유형별",2021.3/4,2021.4/4 p)
"합계","합계","계",1006236,937155
"합계","합계","면세점",795815,681168
"합계","합계","면세점 이외",210421,255987
"합계","컴퓨터 및 주변기기","계",3589,3468
"합계","컴퓨터 및 주변기기","면세점",0,0
"합계","컴퓨터 및 주변기기","면세점 이외",3589,3468
"합계","가전·전자·통신기기","계",12732,11330
"합계","가전·전자·통신기기","면세점",6695,4933
"합계","가전·전자·통신기기","면세점 이외",6037,6397
"합계","소프트웨어","계",244,313
"합계","소프트웨어","면세점",0,0
"합계","소프트웨어","면세점 이외",244,313
"합계","서 적","계",7578,9380
"합계","서 적","면세점",0,0
"합계","서 적","면세점 이외",7578,9380
"합계","사무·문구","계",2796,2693
"합계","사무·문구","면세점",72,16
"합계","사무·문구","면세점 이외",2724,2677
"합계","음반·비디오·악기","계",33824,45957
"합계","음반·비디오·악기","면세점",0,0
"합계","음반·비디오·악기","면세점 이외",33824,45957
"합계","의류 및 패션 관련상품","계",85505,98427
"합계","의류 및 패션 관련상품","면세점",9182,7883
"합계","의류 및 패션 관련상품","면세점 이외",76323,90544
"합계","스포츠·레저용품","계",4588,4485
"합계","스포츠·레저용품","면세점",0,0
"합계","스포츠·레저용품","면세점 이외",4588,4485
"합계","화장품","계",810672,711908
"합계","화장품","면세점",779428,667209
"합계","화장품","면세점 이외",31244,44699
"합계","아동·유아용품","계",5244,5275
"합계","아동·유아용품","면세점",0,27
"합계","아동·유아용품","면세점 이외",5244,5248
"합계","음·식료품","계",4444,7034
"합계","음·식료품","면세점",438,1100
"합계","음·식료품","면세점 이외",4006,5934
"합계","농축수산물","계",25,469
"합계","농축수산물","면세점",0,0
"합계","농축수산물","면세점 이외",25,469
"합계","생활용품 및 자동차용품","계",8044,9648
"합계","생활용품 및 자동차용품","면세점",0,0
"합계","생활용품 및 자동차용품","면세점 이외",8044,9648
"합계","기 타","계",26951,26768
"합계","기 타","면세점",0,0
"합계","기 타","면세점 이외",26951,26768
"미국","합계","계",65865,76637
"미국","합계","면세점",100,108
"미국","합계","면세점 이외",65765,76529
"미국","컴퓨터 및 주변기기","계",1518,1133
"미국","컴퓨터 및 주변기기","면세점",0,0
"미국","컴퓨터 및 주변기기","면세점 이외",1518,1133
"미국","가전·전자·통신기기","계",1650,2727
"미국","가전·전자·통신기기","면세점",5,1
"미국","가전·전자·통신기기","면세점 이외",1645,2726
"미국","소프트웨어","계",204,280
"미국","소프트웨어","면세점",0,0
"미국","소프트웨어","면세점 이외",204,280
"미국","서 적","계",2459,2688
"미국","서 적","면세점",0,0
"미국","서 적","면세점 이외",2459,2688
"미국","사무·문구","계",1116,840
"미국","사무·문구","면세점",0,0
"미국","사무·문구","면세점 이외",1116,840
"미국","음반·비디오·악기","계",10115,11241
"미국","음반·비디오·악기","면세점",0,0
"미국","음반·비디오·악기","면세점 이외",10115,11241
"미국","의류 및 패션 관련상품","계",21661,27039
"미국","의류 및 패션 관련상품","면세점",14,21
"미국","의류 및 패션 관련상품","면세점 이외",21647,27018
"미국","스포츠·레저용품","계",1529,1862
"미국","스포츠·레저용품","면세점",0,0
"미국","스포츠·레저용품","면세점 이외",1529,1862
"미국","화장품","계",9321,12259
"미국","화장품","면세점",65,51
"미국","화장품","면세점 이외",9256,12208
"미국","아동·유아용품","계",1446,1428
"미국","아동·유아용품","면세점",0,0
"미국","아동·유아용품","면세점 이외",1446,1428
"미국","음·식료품","계",796,955
"미국","음·식료품","면세점",16,35
"미국","음·식료품","면세점 이외",780,920
"미국","농축수산물","계",4,104
"미국","농축수산물","면세점",0,0
"미국","농축수산물","면세점 이외",4,104
"미국","생활용품 및 자동차용품","계",2460,2781
"미국","생활용품 및 자동차용품","면세점",0,0
"미국","생활용품 및 자동차용품","면세점 이외",2460,2781
"미국","기 타","계",11586,11300
"미국","기 타","면세점",0,0
"미국","기 타","면세점 이외",11586,11300
"중국","합계","계",832052,731585
"중국","합계","면세점",789773,675565
"중국","합계","면세점 이외",42279,56020
"중국","컴퓨터 및 주변기기","계",49,70
"중국","컴퓨터 및 주변기기","면세점",0,0
"중국","컴퓨터 및 주변기기","면세점 이외",49,70
"중국","가전·전자·통신기기","계",6665,4980
"중국","가전·전자·통신기기","면세점",6558,4850
"중국","가전·전자·통신기기","면세점 이외",107,130
"중국","소프트웨어","계",2,0
"중국","소프트웨어","면세점",0,0
"중국","소프트웨어","면세점 이외",2,0
"중국","서 적","계",3327,3782
"중국","서 적","면세점",0,0
"중국","서 적","면세점 이외",3327,3782
"중국","사무·문구","계",131,447
"중국","사무·문구","면세점",72,16
"중국","사무·문구","면세점 이외",59,431
"중국","음반·비디오·악기","계",11591,17903
"중국","음반·비디오·악기","면세점",0,0
"중국","음반·비디오·악기","면세점 이외",11591,17903
"중국","의류 및 패션 관련상품","계",22147,25508
"중국","의류 및 패션 관련상품","면세점",9054,7703
"중국","의류 및 패션 관련상품","면세점 이외",13093,17805
"중국","스포츠·레저용품","계",305,310
"중국","스포츠·레저용품","면세점",0,0
"중국","스포츠·레저용품","면세점 이외",305,310
"중국","화장품","계",781506,672065
"중국","화장품","면세점",773689,661937
"중국","화장품","면세점 이외",7817,10128
"중국","아동·유아용품","계",1131,1580
"중국","아동·유아용품","면세점",0,27
"중국","아동·유아용품","면세점 이외",1131,1553
"중국","음·식료품","계",1047,1591
"중국","음·식료품","면세점",400,1032
"중국","음·식료품","면세점 이외",647,559
"중국","농축수산물","계",19,268
"중국","농축수산물","면세점",0,0
"중국","농축수산물","면세점 이외",19,268
"중국","생활용품 및 자동차용품","계",1005,684
"중국","생활용품 및 자동차용품","면세점",0,0
"중국","생활용품 및 자동차용품","면세점 이외",1005,684
"중국","기 타","계",3127,2397
"중국","기 타","면세점",0,0
"중국","기 타","면세점 이외",3127,2397
"일본","합계","계",55913,72306
"일본","합계","면세점",11,526
"일본","합계","면세점 이외",55902,71780
"일본","컴퓨터 및 주변기기","계",19,31
"일본","컴퓨터 및 주변기기","면세점",0,0
"일본","컴퓨터 및 주변기기","면세점 이외",19,31
"일본","가전·전자·통신기기","계",53,77
"일본","가전·전자·통신기기","면세점",0,0
"일본","가전·전자·통신기기","면세점 이외",53,77
"일본","소프트웨어","계",0,0
"일본","소프트웨어","면세점",0,0
"일본","소프트웨어","면세점 이외",0,0
"일본","서 적","계",493,562
"일본","서 적","면세점",0,0
"일본","서 적","면세점 이외",493,562
"일본","사무·문구","계",766,388
"일본","사무·문구","면세점",0,0
"일본","사무·문구","면세점 이외",766,388
"일본","음반·비디오·악기","계",4399,4264
"일본","음반·비디오·악기","면세점",0,0
"일본","음반·비디오·악기","면세점 이외",4399,4264
"일본","의류 및 패션 관련상품","계",28204,33873
"일본","의류 및 패션 관련상품","면세점",1,3
"일본","의류 및 패션 관련상품","면세점 이외",28203,33870
"일본","스포츠·레저용품","계",152,399
"일본","스포츠·레저용품","면세점",0,0
"일본","스포츠·레저용품","면세점 이외",152,399
"일본","화장품","계",10555,17102
"일본","화장품","면세점",10,522
"일본","화장품","면세점 이외",10545,16580
"일본","아동·유아용품","계",335,297
"일본","아동·유아용품","면세점",0,0
"일본","아동·유아용품","면세점 이외",335,297
"일본","음·식료품","계",2105,3709
"일본","음·식료품","면세점",0,1
"일본","음·식료품","면세점 이외",2105,3708
"일본","농축수산물","계",0,6
"일본","농축수산물","면세점",0,0
"일본","농축수산물","면세점 이외",0,6
"일본","생활용품 및 자동차용품","계",999,2384
"일본","생활용품 및 자동차용품","면세점",0,0
"일본","생활용품 및 자동차용품","면세점 이외",999,2384
"일본","기 타","계",7833,9214
"일본","기 타","면세점",0,0
"일본","기 타","면세점 이외",7833,9214
"아세안(ASEAN)","합계","계",25267,21593
"아세안(ASEAN)","합계","면세점",2419,1870
"아세안(ASEAN)","합계","면세점 이외",22848,19723
"아세안(ASEAN)","컴퓨터 및 주변기기","계",56,65
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점",0,0
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외",56,65
"아세안(ASEAN)","가전·전자·통신기기","계",2714,1299
"아세안(ASEAN)","가전·전자·통신기기","면세점",131,74
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외",2583,1225
"아세안(ASEAN)","소프트웨어","계",1,0
"아세안(ASEAN)","소프트웨어","면세점",0,0
"아세안(ASEAN)","소프트웨어","면세점 이외",1,0
"아세안(ASEAN)","서 적","계",679,1227
"아세안(ASEAN)","서 적","면세점",0,0
"아세안(ASEAN)","서 적","면세점 이외",679,1227
"아세안(ASEAN)","사무·문구","계",689,744
"아세안(ASEAN)","사무·문구","면세점",0,0
"아세안(ASEAN)","사무·문구","면세점 이외",689,744
"아세안(ASEAN)","음반·비디오·악기","계",3113,4333
"아세안(ASEAN)","음반·비디오·악기","면세점",0,0
"아세안(ASEAN)","음반·비디오·악기","면세점 이외",3113,4333
"아세안(ASEAN)","의류 및 패션 관련상품","계",8443,6553
"아세안(ASEAN)","의류 및 패션 관련상품","면세점",35,76
"아세안(ASEAN)","의류 및 패션 관련상품","면세점 이외",8408,6477
"아세안(ASEAN)","스포츠·레저용품","계",1505,746
"아세안(ASEAN)","스포츠·레저용품","면세점",0,0
"아세안(ASEAN)","스포츠·레저용품","면세점 이외",1505,746
"아세안(ASEAN)","화장품","계",3065,3258
"아세안(ASEAN)","화장품","면세점",2235,1701
"아세안(ASEAN)","화장품","면세점 이외",830,1557
"아세안(ASEAN)","아동·유아용품","계",852,647
"아세안(ASEAN)","아동·유아용품","면세점",0,0
"아세안(ASEAN)","아동·유아용품","면세점 이외",852,647
"아세안(ASEAN)","음·식료품","계",430,709
"아세안(ASEAN)","음·식료품","면세점",18,19
"아세안(ASEAN)","음·식료품","면세점 이외",412,690
"아세안(ASEAN)","농축수산물","계",2,21
"아세안(ASEAN)","농축수산물","면세점",0,0
"아세안(ASEAN)","농축수산물","면세점 이외",2,21
"아세안(ASEAN)","생활용품 및 자동차용품","계",2084,1210
"아세안(ASEAN)","생활용품 및 자동차용품","면세점",0,0
"아세안(ASEAN)","생활용품 및 자동차용품","면세점 이외",2084,1210
"아세안(ASEAN)","기 타","계",1634,781
"아세안(ASEAN)","기 타","면세점",0,0
"아세안(ASEAN)","기 타","면세점 이외",1634,781
"유럽연합(EU)","합계","계",6988,9168
"유럽연합(EU)","합계","면세점",7,10
"유럽연합(EU)","합계","면세점 이외",6981,9158
"유럽연합(EU)","컴퓨터 및 주변기기","계",232,351
"유럽연합(EU)","컴퓨터 및 주변기기","면세점",0,0
"유럽연합(EU)","컴퓨터 및 주변기기","면세점 이외",232,351
"유럽연합(EU)","가전·전자·통신기기","계",338,508
"유럽연합(EU)","가전·전자·통신기기","면세점",0,0
"유럽연합(EU)","가전·전자·통신기기","면세점 이외",338,508
"유럽연합(EU)","소프트웨어","계",23,23
"유럽연합(EU)","소프트웨어","면세점",0,0
"유럽연합(EU)","소프트웨어","면세점 이외",23,23
"유럽연합(EU)","서 적","계",186,205
"유럽연합(EU)","서 적","면세점",0,0
"유럽연합(EU)","서 적","면세점 이외",186,205
"유럽연합(EU)","사무·문구","계",18,34
"유럽연합(EU)","사무·문구","면세점",0,0
"유럽연합(EU)","사무·문구","면세점 이외",18,34
"유럽연합(EU)","음반·비디오·악기","계",2166,2930
"유럽연합(EU)","음반·비디오·악기","면세점",0,0
"유럽연합(EU)","음반·비디오·악기","면세점 이외",2166,2930
"유럽연합(EU)","의류 및 패션 관련상품","계",1208,1396
"유럽연합(EU)","의류 및 패션 관련상품","면세점",2,1
"유럽연합(EU)","의류 및 패션 관련상품","면세점 이외",1206,1395
"유럽연합(EU)","스포츠·레저용품","계",184,459
"유럽연합(EU)","스포츠·레저용품","면세점",0,0
"유럽연합(EU)","스포츠·레저용품","면세점 이외",184,459
"유럽연합(EU)","화장품","계",774,1301
"유럽연합(EU)","화장품","면세점",5,8
"유럽연합(EU)","화장품","면세점 이외",769,1293
"유럽연합(EU)","아동·유아용품","계",392,390
"유럽연합(EU)","아동·유아용품","면세점",0,0
"유럽연합(EU)","아동·유아용품","면세점 이외",392,390
"유럽연합(EU)","음·식료품","계",9,9
"유럽연합(EU)","음·식료품","면세점",0,1
"유럽연합(EU)","음·식료품","면세점 이외",9,8
"유럽연합(EU)","농축수산물","계",0,2
"유럽연합(EU)","농축수산물","면세점",0,0
"유럽연합(EU)","농축수산물","면세점 이외",0,2
"유럽연합(EU)","생활용품 및 자동차용품","계",455,563
"유럽연합(EU)","생활용품 및 자동차용품","면세점",0,0
"유럽연합(EU)","생활용품 및 자동차용품","면세점 이외",455,563
"유럽연합(EU)","기 타","계",1003,997
"유럽연합(EU)","기 타","면세점",0,0
"유럽연합(EU)","기 타","면세점 이외",1003,997
"중동","합계","계",1705,1918
"중동","합계","면세점",0,0
"중동","합계","면세점 이외",1705,1918
"중동","컴퓨터 및 주변기기","계",72,75
"중동","컴퓨터 및 주변기기","면세점",0,0
"중동","컴퓨터 및 주변기기","면세점 이외",72,75
"중동","가전·전자·통신기기","계",95,176
"중동","가전·전자·통신기기","면세점",0,0
"중동","가전·전자·통신기기","면세점 이외",95,176
"중동","소프트웨어","계",1,0
"중동","소프트웨어","면세점",0,0
"중동","소프트웨어","면세점 이외",1,0
"중동","서 적","계",31,38
"중동","서 적","면세점",0,0
"중동","서 적","면세점 이외",31,38
"중동","사무·문구","계",3,2
"중동","사무·문구","면세점",0,0
"중동","사무·문구","면세점 이외",3,2
"중동","음반·비디오·악기","계",374,367
"중동","음반·비디오·악기","면세점",0,0
"중동","음반·비디오·악기","면세점 이외",374,367
"중동","의류 및 패션 관련상품","계",421,427
"중동","의류 및 패션 관련상품","면세점",0,0
"중동","의류 및 패션 관련상품","면세점 이외",421,427
"중동","스포츠·레저용품","계",36,44
"중동","스포츠·레저용품","면세점",0,0
"중동","스포츠·레저용품","면세점 이외",36,44
"중동","화장품","계",380,465
"중동","화장품","면세점",0,0
"중동","화장품","면세점 이외",380,465
"중동","아동·유아용품","계",20,23
"중동","아동·유아용품","면세점",0,0
"중동","아동·유아용품","면세점 이외",20,23
"중동","음·식료품","계",1,0
"중동","음·식료품","면세점",0,0
"중동","음·식료품","면세점 이외",1,0
"중동","농축수산물","계",0,0
"중동","농축수산물","면세점",0,0
"중동","농축수산물","면세점 이외",0,0
"중동","생활용품 및 자동차용품","계",135,192
"중동","생활용품 및 자동차용품","면세점",0,0
"중동","생활용품 및 자동차용품","면세점 이외",135,192
"중동","기 타","계",136,109
"중동","기 타","면세점",0,0
"중동","기 타","면세점 이외",136,109
"중남미","합계","계",2166,2363
"중남미","합계","면세점",0,0
"중남미","합계","면세점 이외",2166,2363
"중남미","컴퓨터 및 주변기기","계",106,69
"중남미","컴퓨터 및 주변기기","면세점",0,0
"중남미","컴퓨터 및 주변기기","면세점 이외",106,69
"중남미","가전·전자·통신기기","계",133,213
"중남미","가전·전자·통신기기","면세점",0,0
"중남미","가전·전자·통신기기","면세점 이외",133,213
"중남미","소프트웨어","계",4,3
"중남미","소프트웨어","면세점",0,0
"중남미","소프트웨어","면세점 이외",4,3
"중남미","서 적","계",50,112
"중남미","서 적","면세점",0,0
"중남미","서 적","면세점 이외",50,112
"중남미","사무·문구","계",6,9
"중남미","사무·문구","면세점",0,0
"중남미","사무·문구","면세점 이외",6,9
"중남미","음반·비디오·악기","계",1035,1052
"중남미","음반·비디오·악기","면세점",0,0
"중남미","음반·비디오·악기","면세점 이외",1035,1052
"중남미","의류 및 패션 관련상품","계",182,181
"중남미","의류 및 패션 관련상품","면세점",0,0
"중남미","의류 및 패션 관련상품","면세점 이외",182,181
"중남미","스포츠·레저용품","계",29,45
"중남미","스포츠·레저용품","면세점",0,0
"중남미","스포츠·레저용품","면세점 이외",29,45
"중남미","화장품","계",130,177
"중남미","화장품","면세점",0,0
"중남미","화장품","면세점 이외",130,177
"중남미","아동·유아용품","계",35,34
"중남미","아동·유아용품","면세점",0,0
"중남미","아동·유아용품","면세점 이외",35,34
"중남미","음·식료품","계",0,3
"중남미","음·식료품","면세점",0,0
"중남미","음·식료품","면세점 이외",0,3
"중남미","농축수산물","계",0,0
"중남미","농축수산물","면세점",0,0
"중남미","농축수산물","면세점 이외",0,0
"중남미","생활용품 및 자동차용품","계",273,323
"중남미","생활용품 및 자동차용품","면세점",0,0
"중남미","생활용품 및 자동차용품","면세점 이외",273,323
"중남미","기 타","계",183,142
"중남미","기 타","면세점",0,0
"중남미","기 타","면세점 이외",183,142
"대양주","합계","계",4766,4623
"대양주","합계","면세점",1,0
"대양주","합계","면세점 이외",4765,4623
"대양주","컴퓨터 및 주변기기","계",77,61
"대양주","컴퓨터 및 주변기기","면세점",0,0
"대양주","컴퓨터 및 주변기기","면세점 이외",77,61
"대양주","가전·전자·통신기기","계",843,1000
"대양주","가전·전자·통신기기","면세점",0,0
"대양주","가전·전자·통신기기","면세점 이외",843,1000
"대양주","소프트웨어","계",5,4
"대양주","소프트웨어","면세점",0,0
"대양주","소프트웨어","면세점 이외",5,4
"대양주","서 적","계",107,99
"대양주","서 적","면세점",0,0
"대양주","서 적","면세점 이외",107,99
"대양주","사무·문구","계",14,56
"대양주","사무·문구","면세점",0,0
"대양주","사무·문구","면세점 이외",14,56
"대양주","음반·비디오·악기","계",604,573
"대양주","음반·비디오·악기","면세점",0,0
"대양주","음반·비디오·악기","면세점 이외",604,573
"대양주","의류 및 패션 관련상품","계",1253,1431
"대양주","의류 및 패션 관련상품","면세점",1,0
"대양주","의류 및 패션 관련상품","면세점 이외",1252,1431
"대양주","스포츠·레저용품","계",708,330
"대양주","스포츠·레저용품","면세점",0,0
"대양주","스포츠·레저용품","면세점 이외",708,330
"대양주","화장품","계",482,460
"대양주","화장품","면세점",0,0
"대양주","화장품","면세점 이외",482,460
"대양주","아동·유아용품","계",116,107
"대양주","아동·유아용품","면세점",0,0
"대양주","아동·유아용품","면세점 이외",116,107
"대양주","음·식료품","계",10,7
"대양주","음·식료품","면세점",0,0
"대양주","음·식료품","면세점 이외",10,7
"대양주","농축수산물","계",0,12
"대양주","농축수산물","면세점",0,0
"대양주","농축수산물","면세점 이외",0,12
"대양주","생활용품 및 자동차용품","계",264,255
"대양주","생활용품 및 자동차용품","면세점",0,0
"대양주","생활용품 및 자동차용품","면세점 이외",264,255
"대양주","기 타","계",283,228
"대양주","기 타","면세점",0,0
"대양주","기 타","면세점 이외",283,228
"기타","합계","계",11514,16962
"기타","합계","면세점",3504,3089
"기타","합계","면세점 이외",8010,13873
"기타","컴퓨터 및 주변기기","계",1460,1613
"기타","컴퓨터 및 주변기기","면세점",0,0
"기타","컴퓨터 및 주변기기","면세점 이외",1460,1613
"기타","가전·전자·통신기기","계",241,350
"기타","가전·전자·통신기기","면세점",1,8
"기타","가전·전자·통신기기","면세점 이외",240,342
"기타","소프트웨어","계",4,3
"기타","소프트웨어","면세점",0,0
"기타","소프트웨어","면세점 이외",4,3
"기타","서 적","계",246,667
"기타","서 적","면세점",0,0
"기타","서 적","면세점 이외",246,667
"기타","사무·문구","계",53,173
"기타","사무·문구","면세점",0,0
"기타","사무·문구","면세점 이외",53,173
"기타","음반·비디오·악기","계",427,3294
"기타","음반·비디오·악기","면세점",0,0
"기타","음반·비디오·악기","면세점 이외",427,3294
"기타","의류 및 패션 관련상품","계",1986,2019
"기타","의류 및 패션 관련상품","면세점",75,79
"기타","의류 및 패션 관련상품","면세점 이외",1911,1940
"기타","스포츠·레저용품","계",140,290
"기타","스포츠·레저용품","면세점",0,0
"기타","스포츠·레저용품","면세점 이외",140,290
"기타","화장품","계",4459,4821
"기타","화장품","면세점",3424,2990
"기타","화장품","면세점 이외",1035,1831
"기타","아동·유아용품","계",917,769
"기타","아동·유아용품","면세점",0,0
"기타","아동·유아용품","면세점 이외",917,769
"기타","음·식료품","계",46,51
"기타","음·식료품","면세점",4,12
"기타","음·식료품","면세점 이외",42,39
"기타","농축수산물","계",0,56
"기타","농축수산물","면세점",0,0
"기타","농축수산물","면세점 이외",0,56
"기타","생활용품 및 자동차용품","계",369,1256
"기타","생활용품 및 자동차용품","면세점",0,0
"기타","생활용품 및 자동차용품","면세점 이외",369,1256
"기타","기 타","계",1166,1600
"기타","기 타","면세점",0,0
"기타","기 타","면세점 이외",1166,1600
